Время[с],Напряжение[В]
0.8466,1.8703
0.8475,1.8777
0.8483,1.8740
0.8491,1.8777
0.8499,1.8777
0.8507,1.8777
0.8516,1.8703
0.8524,1.8777
0.8533,1.8777
0.8541,1.8777
0.8549,1.8740
0.8558,1.8777
0.8567,1.8740
0.8576,1.8703
0.8584,1.8777
0.8593,1.8740
0.8602,1.8703
0.8611,1.8703
0.8619,1.8740
0.8627,1.8703
0.8635,1.8740
0.8643,1.8703
0.8651,1.8777
0.8660,1.8777
0.8668,1.8777
0.8676,1.8740
0.8685,1.8666
0.8694,1.8777
0.8702,1.8740
0.8710,1.8666
0.8719,1.8740
0.8727,1.8777
0.8736,1.8740
0.8744,1.8740
0.8752,1.8777
0.8761,1.8740
0.8769,1.8777
0.8777,1.8703
0.8785,1.8740
0.8792,1.8740
0.8799,1.8777
0.8807,1.8777
0.8814,1.8703
0.8822,1.8740
0.8829,1.8777
0.8836,1.8740
0.8844,1.8740
0.8851,1.8740
0.8859,1.8740
0.8866,1.8740
0.8874,1.8777
0.8883,1.8740
0.8890,1.8740
0.8899,1.8740
0.8907,1.8629
0.8916,1.8740
0.8925,1.8703
0.8933,1.8777
0.8941,1.8740
0.8950,1.8666
0.8958,1.8740
0.8967,1.8666
0.8976,1.8703
0.8984,1.8740
0.8992,1.8703
0.9000,1.8740
0.9009,1.8629
0.9017,1.8666
0.9025,1.8703
0.9032,1.8666
0.9043,1.8740
0.9053,1.8740
0.9065,1.8740
0.9073,1.8740
0.9081,1.8740
0.9088,1.8740
0.9096,1.8703
0.9103,1.8740
0.9112,1.8740
0.9123,1.8703
0.9133,1.8740
0.9143,1.8740
0.9153,1.8703
0.9162,1.8666
0.9171,1.8740
0.9179,1.8740
0.9186,1.8666
0.9193,1.8740
0.9201,1.8740
0.9208,1.8703
0.9215,1.8740
0.9222,1.8703
0.9229,1.8740
0.9236,1.8703
0.9243,1.8740
0.9250,1.8740
0.9257,1.8703
0.9265,1.8740
0.9272,1.8629
0.9279,1.8703
0.9287,1.8629
0.9294,1.8703
0.9302,1.8703
0.9309,1.8703
0.9316,1.8703
0.9323,1.8703
0.9331,1.8740
0.9338,1.8703
0.9346,1.8703
0.9353,1.8703
0.9360,1.8703
0.9367,1.8703
0.9375,1.8740
0.9383,1.8666
0.9391,1.8703
0.9399,1.8666
0.9407,1.8703
0.9415,1.8629
0.9423,1.8629
0.9431,1.8740
0.9439,1.8703
0.9447,1.8740
0.9455,1.8703
0.9463,1.8703
0.9472,1.8703
0.9480,1.8703
0.9488,1.8703
0.9495,1.8703
0.9503,1.8703
0.9511,1.8703
0.9519,1.8703
0.9527,1.8703
0.9534,1.8703
0.9542,1.8703
0.9550,1.8629
0.9558,1.8703
0.9566,1.8629
0.9574,1.8703
0.9582,1.8703
0.9591,1.8666
0.9599,1.8703
0.9607,1.8666
0.9615,1.8703
0.9623,1.8703
0.9631,1.8629
0.9640,1.8629
0.9648,1.8666
0.9656,1.8666
0.9664,1.8629
0.9672,1.8666
0.9681,1.8666
0.9689,1.8703
0.9697,1.8666
0.9705,1.8666
0.9713,1.8592
0.9721,1.8666
0.9729,1.8666
0.9737,1.8666
0.9745,1.8666
0.9752,1.8666
0.9760,1.8629
0.9768,1.8666
0.9776,1.8703
0.9784,1.8703
0.9793,1.8703
0.9801,1.8666
0.9809,1.8666
0.9818,1.8703
0.9825,1.8666
0.9834,1.8703
0.9841,1.8703
0.9850,1.8666
0.9858,1.8703
0.9866,1.8629
0.9874,1.8703
0.9883,1.8592
0.9891,1.8592
0.9899,1.8666
0.9907,1.8666
0.9915,1.8703
0.9923,1.8703
0.9931,1.8592
0.9939,1.8703
0.9947,1.8629
0.9955,1.8703
0.9963,1.8703
0.9970,1.8666
0.9978,1.8703
0.9986,1.8703
0.9994,1.8629
1.0002,1.8629
1.0010,1.8629
1.0018,1.8629
1.0026,1.8703
1.0034,1.8629
1.0042,1.8703
1.0050,1.8703
1.0058,1.8629
1.0066,1.8629
1.0075,1.8703
1.0083,1.8703
1.0090,1.8666
1.0098,1.8629
1.0106,1.8703
1.0114,1.8666
1.0121,1.8666
1.0129,1.8592
1.0137,1.8666
1.0145,1.8592
1.0153,1.8666
1.0161,1.8666
1.0169,1.8703
1.0178,1.8629
